Platform,sentiment,Organization_Type
Facebook,0.4168679999999999,control
FacebookDirect,0.7766,control
InstagramDirect,0.91672,control
Rumble,-0.9989,control
Telegram,0.95015,control
Twitter,0.2550492537313433,control
YouTube,0.4399714285714285,control
Bluesky,0.0,government
Facebook,0.100905035971223,government
FacebookDirect,0.3146684210526316,government
GETTR,-0.5211,government
Gab,-0.0702333333333333,government
Instagram,0.13089,government
InstagramDirect,0.1747434782608695,government
Telegram,-0.1475999999999999,government
Threads,0.0217499999999999,government
TikTok,0.40625,government
TruthSocial,-0.5859,government
Twitter,-0.0192,government
YouTube,0.3438235294117647,government
Bluesky,0.6851499999999999,nonprofit
Facebook,0.5162025,nonprofit
FacebookDirect,0.6300304347826087,nonprofit
Gab,0.07165,nonprofit
Instagram,0.69145,nonprofit
InstagramDirect,0.7842721739130435,nonprofit
Podcast,0.9301,nonprofit
Rumble,0.8869485875706214,nonprofit
Telegram,-0.2996999999999999,nonprofit
TikTok,0.3669,nonprofit
Twitter,0.3102416184971098,nonprofit
YouTube,0.4044653846153846,nonprofit
Facebook,0.3035222222222222,privateorg
Instagram,0.71842,privateorg
InstagramDirect,0.9056375,privateorg
TikTok,0.6702222222222223,privateorg
Twitter,0.2215296296296296,privateorg
YouTube,0.2782666666666666,privateorg
